2023-05-01 14:04:55.983 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-05-01 14:04:56.047 [main] INFO  com.litao.ServerApplication - Starting ServerApplication using Java 17.0.6 with PID 18852 (D:\WEBIDEA\admin-template\admin-server\target\classes started by Acer in D:\WEBIDEA\admin-template)
2023-05-01 14:04:56.132 [main] INFO  com.litao.ServerApplication - The following 1 profile is active: "dev"
2023-05-01 14:04:57.427 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-05-01 14:04:57.429 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-05-01 14:04:57.463 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 21 ms. Found 0 Redis repository interfaces.
2023-05-01 14:04:58.193 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-01 14:04:58.201 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-01 14:04:58.202 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-01 14:04:58.202 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-05-01 14:04:58.318 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-01 14:04:58.319 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2123 ms
2023-05-01 14:05:00.365 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@63f2d024, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7b2dd35d, org.springframework.security.web.context.SecurityContextHolderFilter@39004e4f, org.springframework.security.web.header.HeaderWriterFilter@177068db, org.springframework.security.web.authentication.logout.LogoutFilter@21bf308, com.litao.security.filter.AuthenticationTokenFilter@455da438, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6a6a2fdd, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@552ffa44, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@405223e4, org.springframework.security.web.session.SessionManagementFilter@77b22b05, org.springframework.security.web.access.ExceptionTranslationFilter@7f3e9acc, org.springframework.security.web.access.intercept.AuthorizationFilter@31c5304f]
2023-05-01 14:05:00.748 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-01 14:05:00.778 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-01 14:05:00.790 [main] INFO  com.litao.ServerApplication - Started ServerApplication in 5.38 seconds (process running for 6.687)
2023-05-01 14:05:10.485 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-01 14:05:10.485 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-01 14:05:10.486 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-05-01 14:05:15.504 [http-nio-8080-exec-25] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 440 ms
2023-05-01 14:05:27.064 [http-nio-8080-exec-12] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-05-01 14:05:27.674 [http-nio-8080-exec-12] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@6bf0bf12
2023-05-01 14:05:27.675 [http-nio-8080-exec-12] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
2023-05-01 14:13:55.699 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-05-01 14:13:55.703 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
2023-05-01 14:14:01.476 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-05-01 14:14:01.521 [main] INFO  com.litao.ServerApplication - Starting ServerApplication using Java 17.0.6 with PID 1572 (D:\WEBIDEA\admin-template\admin-server\target\classes started by Acer in D:\WEBIDEA\admin-template)
2023-05-01 14:14:01.523 [main] INFO  com.litao.ServerApplication - The following 1 profile is active: "dev"
2023-05-01 14:14:02.402 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-05-01 14:14:02.405 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-05-01 14:14:02.437 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 0 Redis repository interfaces.
2023-05-01 14:14:03.136 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-01 14:14:03.144 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-01 14:14:03.145 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-05-01 14:14:03.145 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-05-01 14:14:03.238 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-01 14:14:03.238 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1671 ms
2023-05-01 14:14:05.005 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@134955bb, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@45b08b17, org.springframework.security.web.context.SecurityContextHolderFilter@5db04bd2, org.springframework.security.web.header.HeaderWriterFilter@39685204, org.springframework.security.web.authentication.logout.LogoutFilter@7c56c911, com.litao.security.filter.AuthenticationTokenFilter@40bf0e15, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@31c5304f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@43df1377, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6723e6b3, org.springframework.security.web.session.SessionManagementFilter@12e40e98, org.springframework.security.web.access.ExceptionTranslationFilter@35260785, org.springframework.security.web.access.intercept.AuthorizationFilter@443253a6]
2023-05-01 14:14:05.357 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-01 14:14:05.383 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-01 14:14:05.391 [main] INFO  com.litao.ServerApplication - Started ServerApplication in 4.294 seconds (process running for 5.166)
2023-05-01 14:14:18.324 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-01 14:14:18.324 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-01 14:14:18.325 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-05-01 14:14:19.179 [http-nio-8080-exec-13] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 417 ms
2023-05-01 14:14:24.774 [http-nio-8080-exec-8] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
